time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
260.420074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2304",236
260.420248854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2304",236
260.430074720,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2304",236
260.430356899,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2304",236
260.440074656,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2304",236
260.450074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2304",236
260.450222174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2304",236
260.500075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.500256358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-461",136
260.510075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.520074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2305",236
260.520347854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.530074723,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2305",236
260.530275902,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.540074653,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.550074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2305",236
260.550203353,gateway,uav2,0A-AA-00-00-00-02,0A-AA-00-00-00-05,"GcsCommand-461",136
260.550423065,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2305",236
260.600075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.600301358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-461",136
260.600428033,uav1,uav3,0A-AA-00-00-00-04,0A-AA-00-00-00-06,"GcsCommand-461",136
260.610075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.620074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2306",236
260.620356854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.630074725,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2306",236
260.630338904,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.640074650,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.650074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2306",236
260.650212353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-461",136
260.650404532,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2306",236
260.650640437,uav1,uav4,0A-AA-00-00-00-04,0A-AA-00-00-00-07,"GcsCommand-461",136
260.700075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.700237828,gateway,uav5,0A-AA-00-00-00-02,0A-AA-00-00-00-08,"GcsCommand-461",136
260.710075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.720074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2307",236
260.720338854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.730074728,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2307",236
